route;age;wifi;travel;game;pet;instrument
;18;0;15;Valorant;no;string
SE;18;5;15;Roblox;no;string
SE;23;1;15;Call of Duty;Yes;
SE;20;3;40;Devil May Cry;Yes;string
SE;20;4;57;Elden Ring;no;
SE;18;5;15;Valorant;;string
SE;20;57;57;Elden Ring;no;
SE;24;4;45;Tekken;no;aerophone
SE;18;4;15;Valorant;no;
TI;23;3;45;Skyrim;yes;
SE;19;0;60;Valorant;Yes;idiophone
SE;19;2;61;Valorant;Yes;idiophone
SE;22;3;50;Mario Kart;Yes;keyboard
SE;19;3;45;Sims;no;keyboard
SE;23;1;15;Call of Duty;Yes;
SE;25;4;80;Rocket league ;Yes;
SE;19;5;23;My Friend Peppa Pig;no;
TI;23;3;45;Skyrim;Yes;
SE;19;5;20;Minecraft;no;
SE;24;4;40;Red Dead Redemption;no;string
SE;22;2;50;Sims;yes;keyboard
SE;21;4;40;Zelda;no;keyboard
TI;23;3;20;FIFA;Yes;keyboard
SE;19;5;43;Minecraft;no;
SE;24;4;15;The Witcher;no;string
SE;25;4;80;Rocket league ;Yes;
SE;25;4;80;Rocket league ;Yes;
SE;25;4;80;Rocket league ;no;
TI;23;4;;Schaken;yes;string
SE;22;0;70;Guilty Gear;yes;string
TI;23;4;15;Schaken;Yes;string
GD;19;2;45;Ark Survival;no;string
SE;19;0;25;Osu!;no;string
TI;21;3;95;Schaken;no;
TI;23;4;15;chess;Yes;string
SE;18;4;15;Valorant;no;
TI;23;4;20;FIFA;Yes;keyboard
TI;23;3;45;skyrim;Yes;
TI;23;4;20;FIFA;Yes;keyboard
SE;21;5;45;Bannerlord;yes;string
TI;23;4;20;FIFA;Yes;
SE;22;3;120;RuneScape;no;aerophone
ti;23;4;20;Schaken;yes;string
SE;24;4;15;The Witcher;no;keyboard
CS;20;4;45;Forza horizon;no;string
CE;20;4;45;Forza horizon;no;string
TI;21;3;95;Chess;no;
TI;21;5;60;Rocket league ;no;
GD;18;2;45;Minecraft;no;keyboard
GD;19;2;45;Ark Survival;no;string
SE;21;5;45;Bannerlord;Yes;string
ti;23;4;80;Rocket league ;yes;
SE;25;4;80;Rocket league ;Yes;
CS;20;2;90;FIFA;Yes;keyboard
SE;23;1;15;Call of Duty;Yes;
TI;25;3;30;RuneScape;no;string
SE;20;4;50;Elden Ring;no;
SE;20;4;57;Elden Ring;no;
SE;19;5;20;Red Dead Redemption;Yes;
CS;23;5;20;Oldschool Runescape;Yes;membranophone
TI;23;4;15;Chess;Yes;string
GD;19;2;45;Ark Survival;Yes;string
ti;23;3;20;FIFA;yes;keyboard
SE;30;4;50;Binding of Isaac;no;aerophone
TI;23;4;20;FIFA;yes;
SE;20;4;57;Elden Ring;no;
SE;19;5;43;hday;no;
GD;18;2;45;Minecraft;no;keyboard
CS;20;4;75;Alderin;no;
CS;23;5;20;RuneScape;Yes;membranophone
SE;19;0;25;Osu!;no;string
SE;23;1;15;Call of Duty;Yes;
SE;19;3;45;Sims;no;
SE;19;4;57;Elden Ring;no;
SE;23;1;15;Call of Duty;Yes;
TI;23;4;15;Chess;Yes;string
TI;21;3;95;Chess;no;
SE;24;4;35;Candy Crush;no;string
SE;20;4;75;Alderin;Yes;
SE;24;4;40;Red Dead Redemption;no;string
CS;23;5;20;RuneScape;yes;membranophone
SE;25;4;80;Rocket league ;yes;
SE;19;0;25;Osu!;no;string
GD;18;2;45;Minecraft;no;keyboard
TI;23;4;23;FIFA;yes;keyboard
TI;23;4;20;FIFA;Yes;keyboard
TI;23;4;20;FIFA;Yes;
SE;19;5;60;Overwatch;no;
CS;19;5;90;CSGO;no;
SE;23;1;15;Call of Duty;Yes;
GD;19;2;105;Ark Survival;no;string
SE;25;4;80;Rocket league ;no;
SE;22;3;120;RuneScape;no;string
TI;21;5;60;Rocket league ;no;
SE;20;3;40;Devil May Cry;yes;string
CS;20;4;45;Forza horizon;no;string
SE;21;5;45;Bannerlord;Yes;string
SE;21;5;30;League of Legends;no;keyboard
SE;26;3;30;Rocket league ;Yes;
TI;25;3;30;RuneScape;no;keyboard
SE;25;4;80;Rocket league ;Yes;
SE;26;3;20;Rocket league ;Yes;
TI;23;4;15;Chess;Yes;string
TI;23;4;20;FIFA;Yes;keyboard
SE;21;5;45;Bannerlord;Yes;
TI;23;3;45;Skyrim;yes;
CS;20;2;90;FIFA;Yes;keyboard
CS;23;5;20;Oldschool Runescape;Yes;membranophone
SE;21;5;45;Bannerlord;Yes;
TI;21;5;60;Rocket league ;no;
CS;20;2;90;FIFA;Yes;keyboard
TI;21;3;95;Schaken;no;
GD;18;2;45;Minecraft;no;keyboard
SE;26;3;30;Rocket league ;no;
CS;19;2;90;FIFA;Yes;keyboard
SE;22;2;50;Sims;Yes;keyboard
TI;23;4;20;FIFA;Yes;keyboard
SE;26;3;30;Rocket league ;Yes;
TI;25;3;30;RuneScape;Yes;keyboard
CS;23;5;20;Oldschool Runescape;Yes;membranophone
TI;21;5;60;Rocket league ;no;
CS;20;2;120;FIFA;Yes;
GD;19;2;45;The Witcher;no;keyboard
GD;18;2;45;Minecraft;no;keyboard
CS;23;5;20;RuneScape;Yes;membranophone
TI;21;3;95;Tetris;no;
CS;23;5;30;Oldschool Runescape;no;
CS;;5;20;RuneScape;Yes;membranophone
CS;20;4;45;Forza horizon;no;
GD;19;2;45;Ark Survival;no;string
CS;20;4;45;Forza horizon;no;membranophone
SE;19;5;15;Ark Survival;no;string
SE;21;5;45;Bannerlord;Yes;string
CS;20;2;90;FIFA;Yes;
TI;23;4;20;Schaken;Yes;string
CS;20;2;120;FIFA;Yes;keyboard
TI;23;4;15;chess;Yes;string
GD;18;2;45;Minecraft;no;keyboard
GD;18;2;45;Minecraft;no;keyboard
SE;26;3;25;Rocket league ;Yes;
TI;23;3;45;Skyrim;Yes;
SE;21;5;45;Minecraft;no;keyboard
CS;23;5;20;Oldschool Runescape;Yes;membranophone
SE;22;3;120;RuneScape;no;aerophone
SE;23;1;15;Call of Duty;Yes;
SE;20;3;40;Devil May Cry;Yes;string
CS;20;2;120;FIFA;Yes;keyboard
CS;19;5;90;CSGO;no;keyboard
TI;21;5;60;Rocket league ;no;string
SE;22;2;50;Sims;Yes;keyboard
SE;18;4;15;Valorant;no;
CS;23;4;25;Hearthstone;yes;
GD;19;2;45;Ark Survival;no;string
CS;20;4;45;Forza horizon;no;string
CS;23;5;20;RuneScape;Yes;membranophone
SE;19;5;20;Red Dead Redemption;no;
SE;26;3;25;Rocket league ;Yes;keyboard
CS;23;5;20;RuneScape;Yes;membranophone
TI;25;4;30;Oldschool Runescape;no;keyboard
CS;19;5;90;CSGO;no;
SE;18;4;15;Valorant;no;membranophone
SE;24;4;35;Candy Crush;no;string
SE;22;3;15;RuneScape;no;string
SE;19;5;20;Minecraft;no;keyboard
TI;21;4;15;Schaken;no;string
SE;19;5;43;Subway Surfers;no;string
SE;18;4;15;Valorant;no;string
GD;20;4;75;MInecraft;Yes;keyboard
SE;22;3;120;RuneScape;no;aerophone
TI;22;4;50;FIFA;no;
SE;21;3;53;Europa Universalis;Yes;
CS;23;4;25;Hearthstone;Yes;
SE;22;4;43;Binding of Isaac;Yes;string
CS;20;4;60;Valorant;Yes;
SE;22;5;60;Valorant;no;
SE;19;0;25;Osu!;no;string
SE;26;4;40;dead space;no;keyboard
SE;22;5;60;Valorant;no;
SE;30;4;50;Binding of Isaac;no;aerophone
SE;27;4;43;Binding of Isaac;Yes;
SE;19;4;60;Overwatch;no;
SE;21;5;30;Zelda;yes;
SE;22;0;80;Guilty Gear;yes;string
SE;22;5;60;Valorant;Yes;
SE;19;0;25;Osu!;no;string
SE;22;2;10;Rocket league ;no;keyboard
TI;20;4;60;GTA;no;keyboard
SE;22;5;63;Fallout: New Vegas;Yes;string
SE;21;3;53;Europa Universalis;Yes;
SE;26;4;40;dead space;no;keyboard
SE;22;5;63;Fallout: New Vegas;Yes;string
GD;21;5;60;The Last of Us ;Yes;string
SE;22;5;60;Valorant;no;
CS;20;4;60;Valorant;Yes;aerophone
CS;20;4;60;Valorant;Yes;
SE;24;4;40;Red Dead Redemption;no;string
TI;21;4;75;League of Legends;no;
SE;19;0;25;Osu!;no;string
GD;24;4;60;Destiny 2;no;
GD;24;4;60;Destiny 2;no;
SE;27;4;43;Binding of Isaac;Yes;
SE;22;5;60;Valorant;no;
TI;22;4;50;FIFA;no;
SE;23;5;40;Call of Duty;no;
SE;22;2;15;Rocket league ;no;string
GD;20;3,5;75;League of Legends;Yes;
SE;22;0;70;Guilty Gear;Yes;string
CS;23;4;25;Hearthstone;Yes;
SE;21;5;30;League of Legends;no;keyboard
GD;24;4;60;Destiny 2;no;
SE;21;3;53;Europa Universalis;Yes;
SE;30;4;50;Binding of Isaac;no;aerophone
TI;21;4;75;League of Legends;no;
SE;24;4;40;Red Dead Redemption;no;
SE;20;5;30;Rocket league ;Yes;
SE;26;4;50;dead space;no;string
SE;22;0;80;Guilty Gear;Yes;keyboard
SE;19;5;60;Overwatch;no;
SE;24;4;15;Red Dead Redemption;no;string
SE;24;4;15;The Witcher;no;keyboard
SE;21;3;53;Europa Universalis;Yes;
SE;21;3;53;Europa Universalis;Yes;
SE;19;5;60;Overwatch;no;
SE;22;0;70;Guilty Gear;Yes;string
SE;21;5;30;League of Legends;no;keyboard
TI;21;4;75;League of Legends;no;
TI;20;4;60;GTA;no;keyboard
ti;22;4;50;FIFA;no;
SE;21;5;30;League of Legends;no;keyboard
SE;30;4;50;Binding of Isaac;no;aerophone
SE;24;4;45;tekken;no;aerophone
SE;19;3;45;Sims;no;
SE;21;4;35;Zelda;Yes;
SE;22;5;63;Fallout: New Vegas;Yes;string
SE;22;0;70;League of Legends;Yes;string
SE;24;4;40;Red Dead Redemption;no;
SE;22;0;70;Guilty Gear;Yes;
SE;24;4;35;Candy Crush;Yes;string
SE;20;5;30;Rocket league ;Yes;
GD;20;3,5;75;League of Legends;Yes;
TI;22;4;50;FIFA;no;
SE;30;4;50;Binding of Isaac;no;aerophone
ti;20;4;60;GTA;no;keyboard
SE;22;5;63;Fallout: New Vegas;Yes;string
GD;21;5;60;The Last of Us;Yes;string
SE;22;5;60;Valorant;no;
TI;22;4;50;FIFA;no;
TI;20;4;60;GTA;no;keyboard
SE;22;3;50;mario kart;yes;string
GD;21;5;80;The Last Of Us;no;string
SE;22;5;63;Forza horizon;yes;string
SE;22;0;70;Guilty Gear;Yes;string
GD;22;5;80;Minecraft;Yes;keyboard
SE;23;5;40;Call of Duty;no;
SE;19;5;60;overwatch;no;
GD;22;5;60;Minecraft;yes;keyboard
SE;22;2;10;Rocket league ;no;keyboard
SE;23;5;40;Call of Duty;no;
SE;24;4;35;Candy Crush;no;string
SE;27;4;43;Binding of Isaac;yes;
TI;20;4;60;GTA;no;keyboard
SE;23;5;40;Call of Duty;no;
SE;23;5;40;Call of Duty;no;
SE;20;5;30;Rocket league ;yes;keyboard
TI;21;4;75;League of Legends;no;
SE;22;5;60;Valorant;no;
SE;21;4;;Zelda;yes;keyboard
SE;19;3;45;Sims;no;
CS;23;4;25;Hearthstone;Yes;
SE;30;4;50;The Binding of Isaac;no;aerophone
CS;23;4;25;Hearthstone;Yes;
ti;75;4;75;League of Legends;no;
SE;26;4;50;dead space;no;string
SE;22;0;70;Guilty Gear;yes;string
GD;23;4;25;Destiny 2;no;
GD;24;4;60;Destiny 2;no;
CS;23;4;25;Hearthstone;Yes;
ti;21;4;75;League of Legends;no;
ti;21;4;75;League of Legends;no;
ti;20;4;60;GTA;no;string
SE;22;0;70;Guilty Gear;Yes;string
ti;20;4;60;GTA;no;keyboard
SE;21;5;30;League of Legends;no;string
SE;19;5;60;overwatch;no;
GD;24;4;60;Destiny 2;no;
SE;24;4;40;Red Dead Redemption;no;
SE;24;2;10;Rocket league ;no;
